#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:dummy_aln" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:dummy_aln" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:dummy_aln" name="popSize">18.6143574356959</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:dummy_aln" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:dummy_aln">
#                    <trait id="dateTrait.t:dummy_aln" spec="beast.evolution.tree.TraitSet" traitname="date">
#            1=1,
#77=77,
#38=38,
#58=58,
#55=55,
#12=12,
#25=25,
#54=54,
#16=16,
#17=17,
#48=48,
#21=21,
#61=61,
#23=23,
#70=70,
#96=96,
#88=88,
#39=39,
#81=81,
#43=43,
#3=3,
#79=79,
#56=56,
#63=63,
#4=4,
#5=5,
#31=31,
#51=51,
#74=74,
#19=19,
#15=15,
#60=60,
#71=71,
#93=93,
#89=89,
#78=78,
#57=57,
#28=28,
#52=52,
#80=80,
#33=33,
#59=59,
#36=36,
#87=87,
#34=34,
#90=90,
#44=44,
#85=85,
#47=47,
#92=92,
#84=84,
#73=73,
#30=30,
#98=98,
#86=86,
#75=75,
#83=83,
#100=100,
#11=11,
#45=45,
#67=67,
#94=94,
#41=41,
#26=26,
#50=50,
#53=53,
#37=37,
#18=18,
#95=95,
#27=27,
#6=6,
#10=10,
#24=24,
#35=35,
#99=99,
#46=46,
#49=49,
#62=62,
#69=69,
#68=68,
#2=2,
#97=97,
#64=64,
#76=76,
#20=20,
#42=42,
#9=9,
#82=82,
#7=7,
#40=40,
#13=13,
#91=91,
#22=22,
#8=8,
#29=29,
#14=14,
#65=65,
#32=32,
#72=72,
#66=66
#                                    <taxa id="TaxonSet.dummy_aln" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.dummy_aln"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:dummy_aln" name="distribution">
#            <parameter id="clockRate.c:dummy_aln" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:dummy_aln" name="distribution" x="@popSize.t:dummy_aln">
#            <Normal id="Normal.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="mean">18.6143574356959</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="sigma">0.01</parameter>
#            </Normal>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	popSize	CoalescentConstant.
0	-291.7204585846101	NaN	-291.7204585846101	NaN	100.67717624494364	1.0	18.6143574356959	-295.40669023739355
500	-306.00196325544005	NaN	-306.00196325544005	NaN	131.78805492413207	1.2936939408683426	18.6143574356959	-309.68819490822347
1000	-316.21274976766745	NaN	-316.21274976766745	NaN	163.9352101988409	25.76455558885978	18.6143574356959	-319.89898142045087
1500	-327.93059644036396	NaN	-327.93059644036396	NaN	176.30121944230737	31.408167483300808	18.6143574356959	-331.6168280931474
2000	-334.5790159805268	NaN	-334.5790159805268	NaN	116.75198668308161	20.004905967521797	18.6143574356959	-338.2652476333102
2500	-342.1285755047751	NaN	-342.1285755047751	NaN	122.22268806032857	14.768314205731128	18.6143574356959	-345.8148071575585
3000	-345.6090798074781	NaN	-345.6090798074781	NaN	134.69876621605889	27.575613536988214	18.6143574356959	-349.29531146026153
3500	-340.8655421994993	NaN	-340.8655421994993	NaN	133.344545447601	60.86581035395705	18.6143574356959	-344.55177385228274
4000	-347.7224128698803	NaN	-347.7224128698803	NaN	132.21343739393777	62.277925018719046	18.6143574356959	-351.40864452266374
4500	-353.0303131568134	NaN	-353.0303131568134	NaN	123.33385410933694	62.015572854019986	18.6143574356959	-356.7165448095968
5000	-362.7331800524576	NaN	-362.7331800524576	NaN	175.37701468479636	52.985099488614985	18.6143574356959	-366.41941170524103
5500	-367.43626183802	NaN	-367.43626183802	NaN	126.45931324006106	235.98471516829912	18.6143574356959	-371.12249349080344
6000	-365.18843689807915	NaN	-365.18843689807915	NaN	138.73402148237653	309.9185154664064	18.6143574356959	-368.87466855086257
6500	-361.539669285097	NaN	-361.539669285097	NaN	114.65722174786119	364.6292315888024	18.6143574356959	-365.2259009378804
7000	-366.12930522819795	NaN	-366.12930522819795	NaN	146.12015801875273	321.1697593825637	18.6143574356959	-369.81553688098137
7500	-365.8264860451304	NaN	-365.8264860451304	NaN	120.03095857021957	167.60886471620012	18.6143574356959	-369.51271769791384
8000	-362.7510666222983	NaN	-362.7510666222983	NaN	137.34572530994336	280.30666757764374	18.6143574356959	-366.43729827508173
8500	-367.70094058484364	NaN	-367.70094058484364	NaN	141.14482103526166	2350.109997332608	18.6143574356959	-371.38717223762706
9000	-374.08899125833324	NaN	-374.08899125833324	NaN	129.70172726557792	3102.4085099849954	18.6143574356959	-377.77522291111666
9500	-369.2164105921928	NaN	-369.2164105921928	NaN	140.47405382620641	7787.67876118216	18.6143574356959	-372.9026422449762
10000	-371.42509755777536	NaN	-371.42509755777536	NaN	152.0892431123285	14246.696573594314	18.6143574356959	-375.1113292105588
